state,year,fallow_other_than_current,current_fallow,total_fallow,net_area_sown,gross_cropped_area,area_sown_more_than_once,agricultural_land,cultivated_land,uncultivable_land,uncultivated_land,cropping_intensity,double_cropped_share,fallow_share,current_fallow_share,cultivated_land_share,uncultivated_share,net_area_sown_change,gross_cropped_area_change,agricultural_land_change,cultivated_land_change,fallow_change,net_area_sown_delta,gross_cropped_area_delta,agricultural_land_delta,cultivated_land_delta,fallow_delta,agricultural_land_from_baseline,net_area_sown_from_baseline,fallow_from_baseline,agricultural_land_3yr_mean,fallow_3yr_mean,cropping_intensity_3yr_mean
Arunachal Pradesh,2015,64.0,36.0,100.0,227.0,301.0,75.0,423.0,262.0,6805.0,6966.0,1.3259911894214715,0.3303964757694696,0.2364066193847839,0.08510638297852222,0.6193853427881338,16.46808510634405,,,,,,,,,,,0.0,0.0,0.0,423.0,100.0,1.3259911894214715
Arunachal Pradesh,2016,62.0,33.0,96.0,232.0,313.0,81.0,423.0,265.0,6805.0,6963.0,1.3491379310286675,0.34913793103297786,0.22695035460939256,0.07801418439697869,0.6264775413696774,16.460992907762503,0.022026431718061623,0.039867109634551534,0.0,0.011450381679389388,-0.040000000000000036,5.0,12.0,0.0,3.0,-4.0,0.0,0.02202643171796464,-0.0399999999996,423.0,98.0,1.3375645602250694
Arunachal Pradesh,2017,62.0,34.0,96.0,233.0,316.0,84.0,424.0,267.0,6749.0,6906.0,1.3562231759598447,0.3605150214576802,0.22641509433908866,0.0801886792450939,0.6297169811305903,16.28773584901819,0.004310344827586299,0.009584664536741228,0.0023640661938533203,0.007547169811320753,0.0,1.0,3.0,1.0,2.0,0.0,0.002364066193847839,0.02643171806155757,-0.0399999999996,423.3333333333333,97.33333333333333,1.3437840988033278
Arunachal Pradesh,2018,61.0,33.0,95.0,234.0,320.0,86.0,424.0,267.0,6749.0,6905.0,1.3675213675155236,0.3675213675197969,0.22405660377305647,0.07783018867906172,0.6297169811305903,16.28537735845216,0.0042918454935623185,0.012658227848101333,0.0,0.0,-0.01041666666666663,1.0,4.0,0.0,0.0,-1.0,0.002364066193847839,0.030837004405150498,-0.0499999999995,423.6666666666667,95.66666666666667,1.3576274915013453
Arunachal Pradesh,2019,61.0,33.0,94.0,235.0,320.0,86.0,424.0,267.0,6723.0,6879.0,1.36170212765378,0.3659574468069534,0.2216981132070243,0.07783018867906172,0.6297169811305903,16.22405660373532,0.004273504273504258,0.0,0.0,0.0,-0.010526315789473717,1.0,0.0,0.0,0.0,-1.0,0.002364066193847839,0.03524229074874343,-0.0599999999994,424.0,95.0,1.3618155570430492
Arunachal Pradesh,2020,61.0,33.0,94.0,242.0,328.0,86.0,431.0,275.0,6723.0,6879.0,1.3553719008208456,0.3553719008249778,0.21809744779531764,0.07656612528984556,0.6380510440820463,15.960556844510533,0.029787234042553123,0.02499999999999991,0.01650943396226423,0.029962546816479474,0.0,7.0,8.0,7.0,8.0,0.0,0.018912529550782712,0.06607929515389392,-0.0599999999994,426.3333333333333,94.33333333333333,1.361531798663383
Arunachal Pradesh,2021,61.0,33.0,94.0,243.0,338.0,95.0,431.0,276.0,6723.0,6878.0,1.3909465020518892,0.39094650205600434,0.21809744779531764,0.07656612528984556,0.6403712296968901,15.95823665889569,0.004132231404958775,0.030487804878048808,0.0,0.0036363636363636598,0.0,1.0,10.0,0.0,1.0,0.0,0.018912529550782712,0.07048458149748686,-0.0599999999994,428.6666666666667,94.0,1.3693401768421716
Arunachal Pradesh,2022,57.0,33.0,90.0,253.0,343.0,90.0,431.0,286.0,6723.0,6868.0,1.355731225291084,0.35573122529503665,0.20881670533594243,0.07656612528984556,0.6635730858453281,15.935034802747252,0.04115226337448563,0.014792899408283988,0.0,0.03623188405797095,-0.04255319148936165,10.0,5.0,0.0,10.0,-4.0,0.018912529550782712,0.11453744493341614,-0.099999999999,431.0,92.66666666666667,1.3673498760546063
Arunachal Pradesh,2023,54.0,32.0,86.0,258.0,348.0,90.0,431.0,291.0,6723.0,6863.0,1.3488372092970975,0.3488372093009735,0.19953596287656722,0.07424593967500175,0.6751740139195471,15.923433874673032,0.01976284584980248,0.014577259475218707,0.0,0.0174825174825175,-0.0444444444444444,5.0,5.0,0.0,5.0,-4.0,0.018912529550782712,0.13656387665138078,-0.1399999999986,431.0,90.0,1.3651716455466902
Arunachal Pradesh,2024,52.0,32.0,84.0,264.0,354.0,90.0,431.0,296.0,6667.0,6803.0,1.3409090909040118,0.3409090909077996,0.19489559164687958,0.07424593967500175,0.6867749419937662,15.784222737782404,0.023255813953488413,0.01724137931034475,0.0,0.01718213058419238,-0.023255813953488413,6.0,6.0,0.0,5.0,-2.0,0.018912529550782712,0.16299559471293834,-0.1599999999984,431.0,86.66666666666667,1.348492508497398
