state,year,fallow_other_than_current,current_fallow,total_fallow,net_area_sown,gross_cropped_area,area_sown_more_than_once,agricultural_land,cultivated_land,uncultivable_land,uncultivated_land,cropping_intensity,double_cropped_share,fallow_share,current_fallow_share,cultivated_land_share,uncultivated_share,net_area_sown_change,gross_cropped_area_change,agricultural_land_change,cultivated_land_change,fallow_change,net_area_sown_delta,gross_cropped_area_delta,agricultural_land_delta,cultivated_land_delta,fallow_delta,agricultural_land_from_baseline,net_area_sown_from_baseline,fallow_from_baseline,agricultural_land_3yr_mean,fallow_3yr_mean,cropping_intensity_3yr_mean,conflict_count,people_affected,conflict_land_area_ha,conflict_observed,conflict_next_period,target_available
Nagaland,2015,100.0,50.0,150.0,384.0,504.0,120.0,695.0,434.0,958.0,1219.0,1.312499999996582,0.3124999999991862,0.2158273381291858,0.0719424460430619,0.6244604316537777,1.7539568345298504,,,,,,,,,,,0.0,0.0,0.0,695.0,150.0,1.312499999996582,0.0,0.0,0.0,False,,False
Nagaland,2016,106.0,47.0,153.0,385.0,521.0,137.0,694.0,431.0,958.0,1221.0,1.3532467532432384,0.3558441558432316,0.2204610951005469,0.0677233429393836,0.6210374639760504,1.7593659942337765,0.0026041666666667,0.0337301587301588,-0.0014388489208633,-0.0069124423963133,0.02,1.0,17.0,-1.0,-3.0,3.0,-0.0014388489208612,0.0026041666666598,0.0199999999998666,694.5,151.5,1.33287337661991,0.0,0.0,0.0,False,,False
Nagaland,2017,110.0,44.0,153.0,385.0,530.0,145.0,694.0,428.0,958.0,1224.0,1.376623376619801,0.3766233766223983,0.2204610951005469,0.0634005763687847,0.6167146974054515,1.7636887608043752,0.0,0.0172744721689059,0.0,-0.0069605568445475,0.0,0.0,9.0,0.0,-3.0,0.0,-0.0014388489208612,0.0026041666666598,0.0199999999998666,694.3333333333334,152.0,1.347456709953207,0.0,0.0,0.0,False,,False
Nagaland,2018,111.0,49.0,160.0,384.0,529.0,145.0,678.0,432.0,975.0,1221.0,1.3776041666630792,0.3776041666656833,0.2359882005896224,0.0722713864305718,0.6371681415919805,1.8008849557495563,-0.0025974025974025,-0.0018867924528301,-0.0230547550432276,0.0093457943925232,0.0457516339869281,-1.0,-1.0,-16.0,4.0,7.0,-0.024460431654641,0.0,0.0666666666662222,688.6666666666666,155.33333333333334,1.369158098842039,0.0,0.0,0.0,False,,False
Nagaland,2019,112.0,48.0,160.0,384.0,530.0,146.0,676.0,432.0,978.0,1222.0,1.380208333329739,0.3802083333323432,0.2366863905321942,0.0710059171596582,0.6390532544369245,1.8076923076896336,0.0,0.0018903591682419,-0.0029498525073746,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,-0.0273381294963635,0.0,0.0666666666662222,682.6666666666666,157.66666666666666,1.3781452922042066,0.0,0.0,0.0,False,,False
Nagaland,2020,112.0,47.0,159.0,386.0,532.0,146.0,674.0,433.0,981.0,1222.0,1.3782383419653417,0.378238341967932,0.2359050445100357,0.0697329376853564,0.6424332344204118,1.8130563798192685,0.0052083333333332,0.0037735849056603,-0.0029585798816568,0.0023148148148148,-0.0062499999999999,2.0,2.0,-2.0,1.0,-1.0,-0.030215827338086,0.0052083333333197,0.0599999999996,676.0,159.66666666666666,1.378683613986053,0.0,0.0,0.0,False,,False
Nagaland,2021,186.0,92.0,278.0,265.0,319.0,54.0,672.0,357.0,984.0,1300.0,1.203773584901118,0.2037735849048914,0.4136904761898606,0.1369047619045582,0.5312499999992094,1.9345238095209307,-0.3134715025906736,-0.400375939849624,-0.002967359050445,-0.1755196304849884,0.7484276729559749,-121.0,-213.0,-2.0,-76.0,119.0,-0.0330935251798085,-0.3098958333325263,0.8533333333276445,674.0,199.0,1.3207400867320662,0.0,0.0,0.0,False,,False
Nagaland,2022,121.0,59.0,180.0,361.0,471.0,110.0,669.0,419.0,987.0,1237.0,1.3047091412706242,0.3047091412733941,0.2690582959637234,0.0881913303436648,0.6263079222711117,1.8490284005951436,0.3622641509433961,0.4764890282131662,-0.0044642857142856,0.1736694677871149,-0.3525179856115108,96.0,152.0,-3.0,62.0,-98.0,-0.0374100719423922,-0.0598958333331773,0.1999999999986667,671.6666666666666,205.66666666666663,1.295573689379028,0.0,0.0,0.0,False,,False
Nagaland,2023,119.0,58.0,177.0,366.0,481.0,115.0,668.0,424.0,989.0,1233.0,1.3142076502696334,0.3142076502723656,0.2649700598798428,0.0868263473052592,0.6347305389212055,1.8458083832307697,0.0138504155124654,0.0212314225053078,-0.0014947683109117,0.0119331742243435,-0.0166666666666667,5.0,10.0,-1.0,5.0,-3.0,-0.0388489208632534,-0.0468749999998779,0.1799999999988,669.6666666666666,211.66666666666663,1.2742301254804584,0.0,0.0,0.0,False,,False
Nagaland,2024,125.0,63.0,187.0,356.0,468.0,112.0,666.0,419.0,990.0,1238.0,1.314606741569341,0.31460674157215,0.2807807807803592,0.0945945945944525,0.6291291291281845,1.858858858856068,-0.0273224043715847,-0.0270270270270269,-0.0029940119760478,-0.0117924528301887,0.0564971751412428,-10.0,-13.0,-2.0,-5.0,10.0,-0.0417266187049759,-0.0729166666664767,0.2466666666650222,667.6666666666666,181.33333333333331,1.3111745110365327,0.0,0.0,0.0,False,,False
