state,year,raw_values,pdf_page,y_position
Lakshadweep,2017,2|2|0|2|2|1|1,154,575.3
Lakshadweep,2018,3|3|0|3|3|0|0,154,584.06
Lakshadweep,2019,2|2|0|2|2|3|3,154,592.82
Lakshadweep,2020,2|2|0|2|2|3|3,154,601.58
Lakshadweep,2021,2|2|0|2|2|3|3,154,610.34
Lakshadweep,2022,2|2|0|2|2|3|3,154,619.1
Lakshadweep,2023,2|2|0|2|2|3|3,154,627.86
Lakshadweep,2024,0|0|2|2|0|2|2|1|1,154,636.62
Madhya Pradesh,2015,507|561|1068|15149|23714|8565|17250|15710|13507|15046,151,149.42
Madhya Pradesh,2016,481|500|981|15228|24214|8986|17231|15728|13525|15028,151,158.18
Madhya Pradesh,2017,486|543|1029|15191|25114|9923|17207|15733|13549|15023,151,166.94
Madhya Pradesh,2018,467|493|960|15205|26115|10910|17121|15699|13636|15058,151,175.7
Madhya Pradesh,2019,401|374|775|15512|28277|12765|17183|15886|13569|14866,151,184.46
Madhya Pradesh,2020,356|404|760|15800|29903|14103|17449|16204|13308|14553,151,193.22
Madhya Pradesh,2021,357|344|701|15823|30049|14226|17432|16167|13324|14590,151,201.98
Madhya Pradesh,2022,351|325|675|15848|30117|14269|17442|16172|13314|14584,151,210.74
Madhya Pradesh,2023,401|399|801|15640|30265|14625|17423|16039|13333|14717,151,219.5
Madhya Pradesh,2024,402|499|901|15545|30109|14564|17402|16044|13354|14712,151,228.26
Maharashtra,2015,1255|1477|2732|17192|23467|6275|21062|18669|9696|12089,151,246.26
Maharashtra,2016,1258|1401|2659|16910|23947|7037|20748|18312|10011|12447,151,255.02
Maharashtra,2017,1262|1366|2628|16943|23109|6166|20751|18309|9992|12434,151,263.78
Maharashtra,2018,1260|1448|2708|16815|22194|5379|20719|18263|10039|12495,151,272.54
Maharashtra,2019,1215|1444|2659|16722|23856|7134|20589|18166|10169|12592,151,281.3
Maharashtra,2020,1214|1438|2652|16650|24917|8266|20509|18089|10249|12670,151,290.06
Maharashtra,2021,1203|1456|2658|16590|25730|9140|20466|18046|10292|12712,151,298.82
Maharashtra,2022,1195|1477|2671|16491|25375|8884|20394|17968|10364|12790,151,307.58
Maharashtra,2023,1158|1443|2602|16571|24133|7562|20391|18014|10382|12758,151,316.34
Maharashtra,2024,1152|1443|2595|16543|25112|8570|20371|17986|10388|12774,151,325.1
Manipur,2015,0|0|0|437|437|444|437|1728|1734,151,342.62
Manipur,2016,0|0|0|469|469|476|469|1728|1734,151,351.38
Manipur,2017,0|0|0|446|446|453|446|1713|1720,151,360.14
Manipur,2018,0|0|0|441|441|448|442|1713|1720,151,368.9
Manipur,2019,0|0|0|331|331|338|331|1688|1695,151,377.66
Manipur,2020,0|0|0|410|410|417|410|1688|1695,151,386.42
Manipur,2021,0|0|0|393|393|399|393|1688|1695,151,395.18
Manipur,2022,0|0|0|382|382|389|382|1688|1695,151,403.94
Manipur,2023,0|0|0|382|382|389|382|1688|1695,151,412.7
Manipur,2024,0|0|0|187|275|88|194|187|1688|1695,151,421.46
Meghalaya,2015,153|60|213|245|303|57|1008|305|1185|1887,151,438.98
Meghalaya,2016,154|60|214|252|309|56|1015|312|1181|1884,151,447.74
Meghalaya,2017,153|58|211|253|309|56|1013|311|1183|1885,151,456.5
Meghalaya,2018,153|57|210|255|312|57|1011|312|1185|1884,151,465.26
