type,page,state,year,values
numeric,151,,,2024|-25|1152|1443|2595|16543|25112|8570|20371|17986|10388|12774
numeric,151,,,2015|-16|0|0|0|437|437|444|437|1728|1734
numeric,151,,,2016|-17|0|0|0|469|469|476|469|1728|1734
numeric,151,,,2017|-18|0|0|0|446|446|453|446|1713|1720
numeric,151,,,2018|-19|0|0|0|441|441|448|442|1713|1720
numeric,151,,,2019|-20|0|0|0|331|331|338|331|1688|1695
numeric,151,,,2020|-21|0|0|0|410|410|417|410|1688|1695
numeric,151,,,2021|-22|0|0|0|393|393|399|393|1688|1695
numeric,151,,,2022|-23|0|0|0|382|382|389|382|1688|1695
numeric,151,,,2023|-24|0|0|0|382|382|389|382|1688|1695
numeric,151,,,2024|-25|0|0|0|187|275|88|194|187|1688|1695
numeric,151,,,2015|-16|153|60|213|245|303|57|1008|305|1185|1887
numeric,151,,,2016|-17|154|60|214|252|309|56|1015|312|1181|1884
numeric,151,,,2017|-18|153|58|211|253|309|56|1013|311|1183|1885
numeric,151,,,2018|-19|153|57|210|255|312|57|1011|312|1185|1884
numeric,151,,,2019|-20|153|58|211|255|313|58|1010|313|1185|1883
numeric,151,,,2020|-21|154|58|212|253|309|56|1010|312|1185|1884
numeric,151,,,2021|-22|154|54|207|269|325|56|1015|323|1189|1881
numeric,151,,,2022|-23|150|53|203|274|330|56|1014|327|1190|1876
numeric,151,,,2023|-24|150|53|203|274|366|92|1014|327|1190|1876
numeric,151,,,2024|-25|150|53|203|274|366|92|1014|327|1190|1876
numeric,151,,,2015|-16|127|47|174|145|188|44|367|191|1672|1848
numeric,151,,,2016|-17|127|47|174|145|186|42|367|191|1672|1848
numeric,151,,,2017|-18|127|47|174|145|188|44|367|191|1672|1848
numeric,151,,,2018|-19|127|47|174|145|187|42|367|191|1672|1848
numeric,151,,,2019|-20|127|47|174|145|195|50|367|191|1672|1848
numeric,151,,,2020|-21|127|47|174|145|206|61|367|191|1672|1848
numeric,151,,,2021|-22|127|47|174|145|206|62|367|191|1672|1848
numeric,151,,,2022|-23|127|47|174|145|206|62|367|191|1672|1848
numeric,151,,,2023|-24|107|37|144|198|201|3|391|235|1669|1825
numeric,151,,,2024|-25|3|5|8|145|202|57|165|150|1848|1863
numeric,151,,,2015|-16|100|50|150|384|504|120|695|434|958|1219
numeric,151,,,2016|-17|106|47|153|385|521|137|694|431|958|1221
numeric,151,,,2017|-18|110|44|153|385|530|145|694|428|958|1224
numeric,151,,,2018|-19|111|49|160|384|529|145|678|432|975|1221
numeric,151,,,2019|-20|112|48|160|384|530|146|676|432|978|1222
numeric,151,,,2020|-21|112|47|159|386|532|146|674|433|981|1222
numeric,151,,,2021|-22|186|92|278|265|319|54|672|357|984|1300
numeric,151,,,2022|-23|121|59|180|361|471|110|669|419|987|1237
numeric,151,,,2023|-24|119|58|177|366|481|115|668|424|989|1233
numeric,151,,,2024|-25|125|63|187|356|468|112|666|419|990|1238
numeric,152,,,1|12|13|14|15|16|17|18|19|20|21
numeric,152,,,2015|-16|655|1028|1683|4198|4803|605|6648|5226|8779|10201
numeric,152,,,2016|-17|685|1085|1770|4099|4884|785|6690|5184|9254|10760
numeric,152,,,2017|-18|777|1216|1993|3863|4502|639|6745|5079|8679|10345
numeric,152,,,2018|-19|738|1089|1827|4006|4527|521|6675|5095|8756|10336
numeric,152,,,2019|-20|705|1055|1760|4102|4670|568|6699|5157|8082|9624
numeric,152,,,2020|-21|672|986|1658|4179|4819|640|6654|5165|8240|9729
numeric,152,,,2021|-22|688|943|1632|4322|4997|676|6782|5265|8063|9580
numeric,152,,,2022|-23|704|908|1613|4269|5014|745|6742|5178|8199|9763
numeric,152,,,2023|-24|701|903|1604|4307|5168|861|6724|5211|8156|9669
numeric,152,,,2024|-25|678|814|1492|4358|5260|902|6688|5172|4884|6399
numeric,152,,,2015|-16|6|77|82|4137|7872|3734|4245|4214|788|819
numeric,152,,,2016|-17|6|78|84|4130|7804|3674|4237|4208|796|824
numeric,152,,,2017|-18|6|85|91|4124|7779|3655|4235|4209|798|824
numeric,152,,,2018|-19|6|86|91|4119|7851|3732|4233|4205|800|828
numeric,152,,,2019|-20|5|88|93|4127|7838|3711|4238|4214|795|818
numeric,152,,,2020|-21|5|87|93|4126|7835|3709|4237|4213|796|820
numeric,152,,,2021|-22|5|90|95|4113|7916|3803|4225|4203|807|830
numeric,152,,,2022|-23|5|91|95|4110|8312|4201|4225|4201|806|830
numeric,152,,,2023|-24|5|92|97|4109|8263|4154|4226|4201|806|831
numeric,152,,,2024|-25|5|105|110|4103|8139|4036|4232|4208|807|832
numeric,152,,,2015|-16|1966|1597|3563|18024|25014|6989|25504|19622|8764|14646
numeric,152,,,2016|-17|1983|1491|3474|18169|26036|7867|25496|19659|8783|14619
numeric,152,,,2017|-18|1992|1742|3734|17903|25069|7166|25493|19645|8794|14642
numeric,152,,,2018|-19|2106|1789|3895|17778|25313|7535|25484|19567|8803|14720
numeric,152,,,2019|-20|2142|1555|3698|18032|27515|9484|25475|19587|8816|14703
numeric,152,,,2020|-21|2093|1675|3768|17948|26100|8152|25473|19623|8816|14666
numeric,152,,,2021|-22|2040|1585|3625|18130|27442|9312|25463|19715|8829|14578
numeric,152,,,2022|-23|1946|1502|3449|18423|28171|9749|25464|19925|8817|14357
numeric,152,,,2023|-24|1961|1730|3692|18198|27696|9498|25446|19928|8816|14334
numeric,152,,,2024|-25|1931|1792|3723|18209|28193|9984|25442|20001|8902|14343
numeric,152,,,2015|-16|5|7|12|77|137|59|97|84|346|358
numeric,152,,,2016|-17|5|7|12|77|146|69|97|84|346|358
numeric,152,,,2017|-18|5|7|12|77|153|75|97|84|344|357
numeric,152,,,2018|-19|5|7|12|77|162|85|97|84|344|357
numeric,152,,,2019|-20|5|7|12|77|162|85|97|84|344|357
numeric,152,,,2020|-21|5|7|12|77|140|63|97|84|344|357
numeric,152,,,2021|-22|5|7|12|77|140|63|97|84|344|357
numeric,152,,,2022|-23|6|3|9|83|139|56|103|86|387|405
numeric,152,,,2023|-24|6|3|9|83|139|56|103|86|387|405
numeric,152,,,2024|-25|5|4|9|88|111|23|110|92|206|224
numeric,152,,,2015|-16|1729|989|2718|4833|6074|1241|8110|5822|4923|7211
numeric,152,,,2016|-17|1848|1361|3208|4347|5129|782|8110|5708|4923|7325
numeric,152,,,2017|-18|1933|992|2925|4639|5730|1091|8110|5630|4923|7403
numeric,152,,,2018|-19|1931|1047|2978|4582|5672|1090|8109|5630|4924|7403
numeric,152,,,2019|-20|1906|920|2827|4738|5942|1204|8108|5659|4925|7374
numeric,152,,,2020|-21|1865|893|2758|4833|6156|1322|8106|5726|4927|7307
numeric,152,,,2021|-22|1864|800|2664|4909|6348|1439|8105|5709|4928|7324
numeric,152,,,2022|-23|1905|858|2763|4838|6419|1582|8105|5695|4928|7338
numeric,152,,,2023|-24|1866|961|2827|4756|6117|1360|8104|5718|4929|7316
numeric,152,,,2024|-25|1899|856|2755|4827|6225|1399|8104|5683|4929|7351
numeric,152,,,2015|-16|822|1578|2400|4175|4893|719|6870|5753|4338|5455
numeric,152,,,2016|-17|669|1015|1684|4774|5970|1196|6752|5789|4456|5418
numeric,152,,,2017|-18|662|916|1578|4898|6059|1161|6770|5814|4438|5394
numeric,152,,,2018|-19|751|1064|1815|4660|5774|1115|6767|5724|4441|5484
numeric,152,,,2019|-20|566|444|1010|5500|7479|1978|6785|5944|4423|5263
numeric,152,,,2020|-21|379|210|589|5927|8479|2553|6717|6137|4491|5071
numeric,152,,,2021|-22|344|553|896|5625|8026|2401|6715|6178|4493|5030
numeric,152,,,2022|-23|315|333|648|5897|9278|3382|6735|6230|4473|4978
numeric,152,,,2023|-24|283|692|975|5564|8486|2921|6728|6256|4480|4951
numeric,152,,,2024|-25|291|631|922|5618|8931|3313|6728|6249|4480|4959
